2000  01 06  20 27 30   
2000  01 13  12 21 30   
2000  01 13  12 51 30   
2000  01 22  10 05 30   
2000  01 27  19 05 30   
2000  01 28  09 24 30   
2000  02 03  21 05 30   
2000  02 04  08 17 30   
2000  02 10  19 06 30   
2000  02 16  20 37 30   
2000  02 23  19 06 30   
2000  03 01  20 10 30   
2000  03 09  20 08 30   
2000  03 16  12 50 30   
2000  03 22  10 06 30   
2000  03 29  19 39 30   
2000  04 06  20 28 30   
2000  04 11  09 49 30   
2000  04 13  14 10 30   
2000  04 13  19 52 30   
2000  04 20  14 06 30   
2000  04 22  19 36 30   
2000  04 27  19 13 30   
2000  05 06  10 06 30   
2000  05 09  19 45 30   
2000  05 20  10 27 30   
2000  05 25  12 36 30   
2000  05 25  19 10 30   
2000  06 03  10 19 30   
2000  06 08  20 34 30   
2000  06 16  20 08 30   
2000  06 23  20 11 30   
2000  07 01  08 24 30   
2000  07 04  20 35 30   
2000  07 08  08 24 30   
2000  07 17  11 15 30   
2000  07 20  12 39 30   
2000  07 27  12 09 30   
2000  08 01  13 20 30
2000  08 03  19 48 30
2000  08 11  20 29 30
2000  08 17  20 20 30
2000  08 24  12 43 30
2000  08 31  13 32 30
2000  08 31  19 15 30
2000  09 08  19 44 30
2000  09 14  19 06 30
2000  09 15  09 11 30
2000  09 22  19 44 30
2000  09 29  20 09 30
2000  10 05  19 10 30
2000  10 10  19 21 30
2000  10 10  20 33 30
2000  10 19  16 06 30
2000  10 26  12 42 30
2000  11 14  11 53 30
2000  11 18  09 54 30
2000  11 23  10 43 30
2000  12 02  09 04 30
2000  12 08  09 06 30
2000  12 14  18 13 30
2000  12 22  19 06 30
2000  12 30  09 33 30
2001  01 04  19 22 30
2001  01 11  13 10 30
2001  01 18  13 06 30
2001  01 27  10 05 30
2001  01 28  10 47 30
2001  02 09  19 18 30
2001  02 10  09 49 30
2001  02 15  09 40 30
2001  02 25  10 39 30
2001  02 26  10 23 30
2001  03 01  13 19 30
2001  03 08  13 54 30
2001  03 08  20 07 30
2001  03 15  13 24 30
2001  03 18  10 20 30
2001  03 22  13 21 30
2001  03 24  19 06 30
2001  03 29  10 46 30
2001  03 29  13 42 30
2001  04 05  13 30 30
2001  04 12  09 06 30
2001  04 20  10 37 30
2001  04 26  10 25 30
2001  05 03  19 05 30
2001  05 10  13 08 30
2001  05 19  09 38 30
2001  05 24  19 33 30
2001  05 31  13 02 30
2001  06 07  19 12 30
2001  06 16  13 48 30
2001  06 21  20 45 30
2001  06 28  20 31 30
2001  07 05  19 26 30
2001  07 05  20 07 30
2001  07 12  11 32 30
2001  07 19  12 23 30
2001  07 26  13 24 30
2001  08 02  20 15 30
2001  08 09  13 21 30
2001  08 16  19 49 30
2001  08 23  13 23 30
